역번호,요일유형,시,구분,일평균인원,연도
96,주중,13,승차,235.33716475095787,2025
96,주중,13,하차,258.7547892720307,2025
96,주중,14,승차,245.632183908046,2025
96,주중,14,하차,287.3448275862069,2025
96,주중,15,승차,281.1800766283525,2025
96,주중,15,하차,342.4176245210728,2025
96,주중,16,승차,266.51724137931035,2025
96,주중,16,하차,343.09961685823754,2025
96,주중,17,승차,273.6513409961686,2025
96,주중,17,하차,377.71264367816093,2025
96,주중,18,승차,227.3065134099617,2025
96,주중,18,하차,386.7931034482759,2025
96,주중,19,승차,110.11494252873563,2025
96,주중,19,하차,207.9463601532567,2025
96,주중,20,승차,87.3639846743295,2025
96,주중,20,하차,131.5977011494253,2025
96,주중,21,승차,69.39080459770115,2025
96,주중,21,하차,127.52107279693486,2025
96,주중,22,승차,47.452107279693486,2025
96,주중,22,하차,91.5478927203065,2025
96,주중,23,승차,10.551724137931034,2025
96,주중,23,하차,60.90421455938697,2025
96,토,0,승차,1.3653846153846154,2025
96,토,0,하차,29.21153846153846,2025
96,토,1,승차,0.1346153846153846,2025
96,토,1,하차,0.23076923076923078,2025
96,토,2,승차,0.0,2025
96,토,2,하차,0.09615384615384616,2025
96,토,3,승차,0.0,2025
96,토,3,하차,0.038461538461538464,2025
96,토,4,승차,11.615384615384615,2025
96,토,4,하차,0.21153846153846154,2025
96,토,5,승차,58.96153846153846,2025
96,토,5,하차,22.096153846153847,2025
96,토,6,승차,67.63461538461539,2025
96,토,6,하차,87.1923076923077,2025
96,토,7,승차,106.59615384615384,2025
96,토,7,하차,82.76923076923077,2025
96,토,8,승차,162.40384615384616,2025
96,토,8,하차,153.6346153846154,2025
96,토,9,승차,209.71153846153845,2025
96,토,9,하차,195.28846153846155,2025
96,토,10,승차,258.5,2025
96,토,10,하차,203.75,2025
96,토,11,승차,306.36538461538464,2025
96,토,11,하차,283.3269230769231,2025
96,토,12,승차,288.28846153846155,2025
96,토,12,하차,275.78846153846155,2025
96,토,13,승차,282.2307692307692,2025
96,토,13,하차,236.26923076923077,2025
96,토,14,승차,249.23076923076923,2025
96,토,14,하차,232.84615384615384,2025
96,토,15,승차,251.07692307692307,2025
96,토,15,하차,265.5576923076923,2025
96,토,16,승차,225.48076923076923,2025
96,토,16,하차,310.96153846153845,2025
96,토,17,승차,217.1346153846154,2025
96,토,17,하차,324.9807692307692,2025
96,토,18,승차,163.3846153846154,2025
96,토,18,하차,244.82692307692307,2025
96,토,19,승차,132.19230769230768,2025
96,토,19,하차,173.59615384615384,2025
96,토,20,승차,113.0576923076923,2025
96,토,20,하차,130.8653846153846,2025
96,토,21,승차,79.13461538461539,2025
96,토,21,하차,124.34615384615384,2025
96,토,22,승차,54.42307692307692,2025
96,토,22,하차,101.36538461538461,2025
96,토,23,승차,12.365384615384615,2025
96,토,23,하차,67.63461538461539,2025
97,일,0,승차,1.7884615384615385,2025
97,일,0,하차,29.057692307692307,2025
97,일,1,승차,0.38461538461538464,2025
97,일,1,하차,0.5384615384615384,2025
97,일,2,승차,0.23076923076923078,2025
97,일,2,하차,0.11538461538461539,2025
97,일,3,승차,0.0,2025
97,일,3,하차,0.0,2025
97,일,4,승차,11.115384615384615,2025
97,일,4,하차,0.2692307692307692,2025
97,일,5,승차,70.3076923076923,2025
97,일,5,하차,10.173076923076923,2025
97,일,6,승차,91.40384615384616,2025
97,일,6,하차,46.34615384615385,2025
97,일,7,승차,131.65384615384616,2025
97,일,7,하차,53.48076923076923,2025
97,일,8,승차,200.82692307692307,2025
97,일,8,하차,88.0,2025
97,일,9,승차,273.88461538461536,2025
97,일,9,하차,103.26923076923077,2025
97,일,10,승차,281.5769230769231,2025
97,일,10,하차,136.96153846153845,2025
97,일,11,승차,294.21153846153845,2025
97,일,11,하차,160.71153846153845,2025
97,일,12,승차,295.8269230769231,2025
97,일,12,하차,182.98076923076923,2025
97,일,13,승차,270.3076923076923,2025
97,일,13,하차,217.07692307692307,2025
97,일,14,승차,240.3846153846154,2025
97,일,14,하차,261.38461538461536,2025
97,일,15,승차,226.25,2025
97,일,15,하차,306.8076923076923,2025
97,일,16,승차,207.5,2025
97,일,16,하차,335.9807692307692,2025
97,일,17,승차,176.55769230769232,2025
97,일,17,하차,329.15384615384613,2025
97,일,18,승차,132.3846153846154,2025
97,일,18,하차,289.1730769230769,2025
97,일,19,승차,101.8076923076923,2025
97,일,19,하차,221.0,2025
97,일,20,승차,80.53846153846153,2025
97,일,20,하차,208.69230769230768,2025
97,일,21,승차,61.30769230769231,2025
97,일,21,하차,167.03846153846155,2025
97,일,22,승차,48.90384615384615,2025
97,일,22,하차,129.21153846153845,2025
97,일,23,승차,15.615384615384615,2025
97,일,23,하차,81.8076923076923,2025
97,주중,0,승차,2.1839080459770117,2025
97,주중,0,하차,42.87356321839081,2025
97,주중,1,승차,0.36015325670498083,2025
97,주중,1,하차,0.8505747126436781,2025
97,주중,2,승차,0.2567049808429119,2025
97,주중,2,하차,0.3218390804597701,2025
97,주중,3,승차,0.07662835249042145,2025
97,주중,3,하차,0.06896551724137931,2025
97,주중,4,승차,17.007662835249043,2025
97,주중,4,하차,0.5440613026819924,2025
97,주중,5,승차,113.19157088122606,2025
97,주중,5,하차,14.973180076628353,2025
97,주중,6,승차,237.12260536398466,2025
97,주중,6,하차,73.96934865900383,2025
97,주중,7,승차,562.471264367816,2025
97,주중,7,하차,139.4367816091954,2025
97,주중,8,승차,610.823754789272,2025
97,주중,8,하차,283.9272030651341,2025
97,주중,9,승차,451.04597701149424,2025
97,주중,9,하차,172.80842911877394,2025
97,주중,10,승차,401.06513409961684,2025
97,주중,10,하차,206.24521072796935,2025
97,주중,11,승차,360.6130268199234,2025
97,주중,11,하차,267.68199233716473,2025
97,주중,12,승차,328.7662835249042,2025
97,주중,12,하차,303.23754789272033,2025
97,주중,13,승차,332.76245210727967,2025
97,주중,13,하차,303.5402298850575,2025
97,주중,14,승차,295.2835249042146,2025
97,주중,14,하차,334.9846743295019,2025
97,주중,15,승차,294.7432950191571,2025
97,주중,15,하차,424.8735632183908,2025
97,주중,16,승차,295.5977011494253,2025
97,주중,16,하차,486.58620689655174,2025
97,주중,17,승차,300.36015325670496,2025
97,주중,17,하차,572.8735632183908,2025
97,주중,18,승차,230.42911877394636,2025
97,주중,18,하차,633.4559386973181,2025
97,주중,19,승차,121.57088122605364,2025
